# Building Array Test - Phase 2
# Format: xmin xmax ymin ymax zmin zmax [m]
# Regular 3x3 array of buildings to test wake superposition and street canyon effects
# Building height: 30m, size: 20m x 20m
# Street width: 40m (H/W ratio = 30/40 = 0.75 -> skimming flow regime)

# Row 1 (y = 40-60)
40.0   60.0   40.0   60.0   0.0   30.0
100.0  120.0  40.0   60.0   0.0   30.0
160.0  180.0  40.0   60.0   0.0   30.0

# Row 2 (y = 100-120)
40.0   60.0   100.0  120.0  0.0   30.0
100.0  120.0  100.0  120.0  0.0   30.0
160.0  180.0  100.0  120.0  0.0   30.0

# Row 3 (y = 160-180)
40.0   60.0   160.0  180.0  0.0   30.0
100.0  120.0  160.0  180.0  0.0   30.0
160.0  180.0  160.0  180.0  0.0   30.0
