# Gaussian hill terrain for coupled puff test
# X Y Z [m] - larger domain (400m x 400m)
# Peak 40m at (200, 200)
0.0 0.0 0.0
0.0 100.0 3.0
0.0 200.0 8.0
0.0 300.0 3.0
0.0 400.0 0.0
100.0 0.0 3.0
100.0 100.0 15.0
100.0 200.0 25.0
100.0 300.0 15.0
100.0 400.0 3.0
200.0 0.0 8.0
200.0 100.0 25.0
200.0 200.0 40.0
200.0 300.0 25.0
200.0 400.0 8.0
300.0 0.0 3.0
300.0 100.0 15.0
300.0 200.0 25.0
300.0 300.0 15.0
300.0 400.0 3.0
400.0 0.0 0.0
400.0 100.0 3.0
400.0 200.0 8.0
400.0 300.0 3.0
400.0 400.0 0.0
